Date,BHP.AX,CBA.AX,CSL.AX,NAB.AX,NST.AX,PME.AX,STO.AX,TNE.AX,WDS.AX,XRO.AX
26/11/2020,24.38444328,67.32204437,286.8927612,18.76934433,11.36922836,29.1838398,5.178833961,9.041747093,16.36258888,133.5200043
27/11/2020,24.07971382,67.00656891,283.1178894,18.64144325,11.33394814,29.13467789,5.073309898,8.701262474,16.12143898,133.7599945
30/11/2020,23.67548561,65.6450119,277.8666077,18.29771423,11.122262,29.04618263,5.000254631,8.682349205,15.86610508,132.5
1/12/2020,23.98021126,66.62466431,280.0811157,18.4176178,11.34276867,29.44932938,5.040840626,8.776925087,15.74553299,132.1999969
2/12/2020,24.44663239,66.50012207,276.8201294,18.38564491,11.47507286,29.35099983,5.065192223,8.616142273,15.90157032,130.6600037
3/12/2020,25.65310478,66.05181122,274.8298645,18.36166191,11.44861126,29.52799034,5.105778694,8.629617691,16.2065506,132
4/12/2020,25.80858231,66.56655884,274.5215149,18.48956299,11.32512856,29.49849319,5.16260004,8.562721252,16.31293488,132.8999939
7/12/2020,26.36206436,67.03146362,275.6427612,18.58549118,11.27220535,29.58698654,5.333063602,8.314249039,16.41932678,138.4299927
8/12/2020,26.2749958,67.91978455,278.0628662,18.63345146,11.49270916,30.10812569,5.227538109,8.400257111,16.39095688,140.2400055
9/12/2020,26.57350731,69.05718994,284.1830444,18.73736954,11.46625137,30.53093529,5.276241779,8.352475166,16.17817879,141
10/12/2020,26.41803169,68.98247528,281.5200195,18.81731033,10.82237816,30.04912567,5.276241779,8.113559723,16.12143898,139.5099945
11/12/2020,26.62948227,68.40132141,272.4005127,18.64943886,10.92821789,29.9213047,5.422353268,7.960654736,16.53280449,141.3300018
14/12/2020,26.57972908,69.67154694,267.7005615,18.82530022,10.73417473,30.08845901,5.333063602,7.931985378,16.44769669,143.9400024
15/12/2020,25.98270988,68.96585846,270.8213501,18.68940735,10.32844639,30.21628571,5.186951637,7.884201527,16.10015869,147.4700012
16/12/2020,26.46156693,69.61343384,268.1210022,18.87326431,10.75181484,30.59976959,5.130131245,7.855531216,16.22782516,150.6600037
17/12/2020,26.92798805,70.33572388,269.2516785,19.06511116,11.08698368,31.61255455,5.276241779,7.855531216,16.71012306,154
18/12/2020,26.83470535,69.04058838,270.0177917,18.68141174,11.32512856,32.44834518,5.16260004,7.865087032,16.76686478,150.5899963
21/12/2020,27.15186882,68.90775299,267.5790405,18.62545586,11.40450954,33.05796814,5.130131245,7.989323616,16.34130859,146.8600006
22/12/2020,26.67300797,68.42621613,269.7281799,18.32968712,11.01642036,33.14647293,4.959667683,7.951097965,15.83064365,147.1000061
23/12/2020,26.39937592,69.05718994,270.5223389,18.36965561,11.04288197,33.98225784,5.040840626,7.970211983,16.00795746,147.0099945
24/12/2020,26.71031952,69.03227997,269.6066895,18.38564491,11.01642036,33.99209595,5.170716763,7.960654736,16.13562202,146.3600006
29/12/2020,26.69166756,69.7462616,269.3824158,18.47357559,11.05170059,34.53289413,5.154481888,7.951097965,16.29875183,145.6300049
30/12/2020,26.82848358,69.39756775,268.9058838,18.40962791,11.06052303,33.97242737,5.154481888,7.912870884,16.34840012,146.6699982
31/12/2020,26.38694,68.16885376,264.5983582,18.06589127,11.19282341,33.5889473,5.089544296,7.836418152,16.1285305,146.8200073
4/01/2021,26.77873611,69.5304184,266.2989502,18.32968712,11.72203636,34.53289413,5.219421387,7.845975876,16.36258888,148.4600067
5/01/2021,27.54988289,69.09870911,266.8782654,18.13783836,12.11894703,33.43162537,5.146364689,7.788636208,16.16399384,152.7100067
6/01/2021,27.49391365,68.82472229,260.1133423,17.91401482,11.85433865,32.41884232,5.251890659,7.559277534,16.44060516,148
7/01/2021,29.16680527,70.21948242,256.9551392,18.4176178,11.73967648,31.75020981,5.641520023,7.454154968,17.27043724,140.5299988
8/01/2021,29.02376938,71.09120178,261.8606262,18.66542816,11.62501431,32.07469559,5.665872097,7.607059956,17.59669495,142.6100006
11/01/2021,28.91804504,70.70100403,257.842804,18.55351067,11.27220535,31.28806496,5.844452858,7.454154968,18.05771255,135.9299927
12/01/2021,28.60709953,71.29875946,255.1517792,18.75335693,11.28984642,31.27823257,5.868804455,7.435041904,17.95841599,132.7599945
13/01/2021,28.74391365,71.37347412,253.2550049,18.76934433,11.51917267,31.23890305,6.096089363,7.310805321,18.92300987,130.9600067
14/01/2021,28.6444149,71.67237091,253.2175751,19.00915718,11.32512856,35.9193306,6.08797121,7.463710308,18.87336159,135.8600006
15/01/2021,29.11705399,70.88365936,249.723053,19.29693222,11.21928596,37.55157852,6.023033619,7.320362091,18.97975159,133.7799988
18/01/2021,28.26506615,70.29420471,249.9472961,18.90523911,11.34276867,41.69120407,5.974328995,7.30124855,18.90173149,136.6600037
19/01/2021,28.52625656,70.65950775,253.3484344,19.20100975,11.7308569,43.16612244,5.958094597,7.482824326,19.0932312,137.6600037
20/01/2021,28.79366493,70.04514313,253.1521912,19.11307716,11.82787704,41.26839066,6.006799221,7.65484333,19.43367195,136.2700043
21/01/2021,29.24143219,70.83384705,251.1432648,19.42483139,12.01310253,39.84263229,6.006799221,7.750407696,19.11450768,136.0800018
22/01/2021,28.68794823,70.64289856,256.5813904,19.28094482,11.84552002,39.8229599,5.852570057,7.759965897,18.83790016,136.9900055
25/01/2021,28.99267197,70.79233551,257.4597473,19.28893852,11.66911411,40.4424324,5.811983109,7.769523144,18.67476845,137.4299927
27/01/2021,28.01630211,71.89652252,257.1420593,19.36088371,11.69557476,43.04813004,5.560347557,7.865087032,18.13573074,140.8500061
28/01/2021,27.53744507,70.6844101,249.3866425,19.12106895,11.23692608,40.5112648,5.45482254,7.989323616,17.83074951,132.0099945
29/01/2021,27.08967972,69.3311615,253.8903961,18.81731033,11.33394814,42.12385178,5.284359455,8.2473526,17.35554695,129.8899994
1/02/2021,27.43793869,70.30251312,259.8143616,19.03313637,11.43978882,42.09435272,5.316829205,8.161343575,17.41228676,131.4100037
2/02/2021,28.04739571,71.88821411,256.329071,19.37687111,11.51917267,41.44538116,5.45482254,8.2473526,17.78819466,130.3000031
